iter	Logloss
0	0.6849685726
1	0.6757477178
2	0.6667418333
3	0.6556300916
4	0.6460890911
5	0.6385871518
6	0.6303664779
7	0.6225595385
8	0.6146840738
9	0.6096025762
10	0.603336809
11	0.5965447438
12	0.5892398319
13	0.5832602173
14	0.577505934
15	0.5717062974
16	0.5670267936
17	0.561860601
18	0.558060702
19	0.5537268927
20	0.5488970583
21	0.5449069413
22	0.5409396197
23	0.5367022418
24	0.5333416242
25	0.5298619664
26	0.5261576851
27	0.5231805376
28	0.5190193651
29	0.5156029983
30	0.5124518249
31	0.5098817183
32	0.5074335407
33	0.5048868931
34	0.5020290607
35	0.4992373722
36	0.4966511338
37	0.494330914
38	0.4913191481
39	0.4887055029
40	0.486579852
41	0.4842381107
42	0.4819396725
43	0.4794867775
44	0.4777175248
45	0.4758346842
46	0.4736522307
47	0.4718521208
48	0.4700501502
49	0.4683126283
50	0.4657983283
51	0.4640525037
52	0.4618701858
53	0.4603952701
54	0.4586689356
55	0.4570974957
56	0.4551704799
57	0.4534788404
58	0.4520483476
59	0.4506385586
60	0.449310895
61	0.4480225827
62	0.4468548775
63	0.4460186026
64	0.4444720716
65	0.4432276108
66	0.4418641349
67	0.4411410347
68	0.439508522
69	0.4384971567
70	0.4374447784
71	0.4363439801
72	0.4351732368
73	0.4336116277
74	0.4325232999
75	0.4313920565
76	0.4299483236
77	0.428978824
78	0.4278632562
79	0.4268181499
80	0.4260704353
81	0.4250330758
82	0.4239268602
83	0.4225400197
84	0.4220548059
85	0.4209987852
86	0.4199686447
87	0.4188081083
88	0.4178168658
89	0.4174037223
90	0.4162865418
91	0.4151878294
92	0.4140845162
93	0.4132392314
94	0.4125369214
95	0.4114793953
96	0.4104909617
97	0.4101369429
98	0.4096408876
99	0.40874112
