iter	Passed	Remaining
0	0	50
1	0	46
2	1	52
3	1	46
4	2	41
5	2	40
6	3	40
7	3	38
8	3	39
9	4	39
10	4	38
11	5	38
12	5	37
13	6	37
14	6	35
15	6	34
16	7	34
17	7	34
18	7	33
19	8	32
20	8	31
21	8	31
22	9	31
23	9	30
24	10	31
25	10	30
26	11	30
27	11	30
28	12	29
29	12	29
30	13	28
31	13	28
32	13	28
33	14	27
34	14	26
35	15	26
36	15	26
37	15	26
38	16	25
39	16	24
40	16	24
41	17	23
42	17	23
43	18	23
44	18	22
45	19	22
46	19	21
47	20	21
48	20	21
49	20	20
50	21	20
51	21	20
52	22	19
53	22	19
54	23	18
55	23	18
56	23	17
57	23	17
58	24	16
59	24	16
60	25	16
61	25	15
62	25	15
63	26	14
64	26	14
65	27	13
66	27	13
67	27	13
68	28	12
69	28	12
70	29	11
71	29	11
72	29	11
73	30	10
74	30	10
75	31	9
76	31	9
77	31	9
78	32	8
79	32	8
80	33	7
81	33	7
82	33	6
83	34	6
84	34	6
85	34	5
86	35	5
87	35	4
88	36	4
89	36	4
90	36	3
91	37	3
92	37	2
93	37	2
94	38	2
95	38	1
96	38	1
97	39	0
98	39	0
99	40	0
